DATE,IUMTLMV
31 Jan 2010,4.08
28 Feb 2010,4.05
31 Mar 2010,4.04
30 Apr 2010,3.99
31 May 2010,3.94
30 Jun 2010,3.92
31 Jul 2010,3.92
31 Aug 2010,3.94
30 Sep 2010,3.93
31 Oct 2010,3.91
30 Nov 2010,3.91
31 Dec 2010,3.91
31 Jan 2011,4.04
28 Feb 2011,4.07
31 Mar 2011,4.07
30 Apr 2011,4
31 May 2011,4
30 Jun 2011,4.05
31 Jul 2011,4.1
31 Aug 2011,4.11
30 Sep 2011,4.12
31 Oct 2011,4.14
30 Nov 2011,4.13
31 Dec 2011,4.12
31 Jan 2012,4.18
29 Feb 2012,4.14
31 Mar 2012,4.1
30 Apr 2012,4.1
31 May 2012,4.16
30 Jun 2012,4.22
31 Jul 2012,4.24
31 Aug 2012,4.27
30 Sep 2012,4.29
31 Oct 2012,4.32
30 Nov 2012,4.32
31 Dec 2012,4.35
31 Jan 2013,4.38
28 Feb 2013,4.38
31 Mar 2013,4.34
30 Apr 2013,4.35
31 May 2013,4.38
30 Jun 2013,4.38
31 Jul 2013,4.37
31 Aug 2013,4.36
30 Sep 2013,4.35
31 Oct 2013,4.37
30 Nov 2013,4.41
31 Dec 2013,4.39
31 Jan 2014,4.41
28 Feb 2014,4.43
31 Mar 2014,4.43
30 Apr 2014,4.43
31 May 2014,4.42
30 Jun 2014,4.36
31 Jul 2014,4.45
31 Aug 2014,4.45
30 Sep 2014,4.52
31 Oct 2014,4.53
30 Nov 2014,4.49
31 Dec 2014,4.48
31 Jan 2015,4.56
28 Feb 2015,4.51
31 Mar 2015,4.51
30 Apr 2015,4.53
31 May 2015,4.55
30 Jun 2015,4.49
31 Jul 2015,4.5
31 Aug 2015,4.48
30 Sep 2015,4.5
31 Oct 2015,4.54
30 Nov 2015,4.49
31 Dec 2015,4.49
31 Jan 2016,4.56
29 Feb 2016,4.58
31 Mar 2016,4.57
30 Apr 2016,4.64
31 May 2016,4.56
30 Jun 2016,4.52
31 Jul 2016,4.55
31 Aug 2016,4.3
30 Sep 2016,4.24
31 Oct 2016,4.24
30 Nov 2016,4.28
31 Dec 2016,4.23
31 Jan 2017,4.49
28 Feb 2017,4.37
31 Mar 2017,4.28
30 Apr 2017,4.54
31 May 2017,4.23
30 Jun 2017,4.28
31 Jul 2017,4.51
31 Aug 2017,4.32
30 Sep 2017,4.31
31 Oct 2017,4.31
30 Nov 2017,4.34
31 Dec 2017,4.54
31 Jan 2018,4.21
28 Feb 2018,4.23
31 Mar 2018,4.14
30 Apr 2018,4.17
31 May 2018,4.16
30 Jun 2018,4.06
31 Jul 2018,4.1
31 Aug 2018,4.35
30 Sep 2018,4.39
31 Oct 2018,4.45
30 Nov 2018,4.41
31 Dec 2018,4.4
31 Jan 2019,4.48
28 Feb 2019,4.31
31 Mar 2019,4.31
30 Apr 2019,4.31
31 May 2019,4.29
30 Jun 2019,4.29
31 Jul 2019,4.29
31 Aug 2019,4.29
30 Sep 2019,4.29
31 Oct 2019,4.27
30 Nov 2019,4.27
31 Dec 2019,4.27
31 Jan 2020,4.27
29 Feb 2020,4.26
31 Mar 2020,4.1
30 Apr 2020,3.66
31 May 2020,3.65
30 Jun 2020,3.65
31 Jul 2020,3.66
31 Aug 2020,3.65
30 Sep 2020,3.65
31 Oct 2020,3.64
30 Nov 2020,3.62
31 Dec 2020,3.62
31 Jan 2021,3.62
28 Feb 2021,3.62
31 Mar 2021,3.62
30 Apr 2021,3.61
31 May 2021,3.61
30 Jun 2021,3.61
31 Jul 2021,3.61
31 Aug 2021,3.61
30 Sep 2021,3.61
31 Oct 2021,3.6
30 Nov 2021,3.59
31 Dec 2021,3.61
31 Jan 2022,3.67
28 Feb 2022,3.84
31 Mar 2022,3.99
30 Apr 2022,4.11
31 May 2022,4.26
30 Jun 2022,4.39
31 Jul 2022,4.55
31 Aug 2022,4.88
30 Sep 2022,5.1
31 Oct 2022,5.42
30 Nov 2022,5.87
31 Dec 2022,6.42
31 Jan 2023,6.61
28 Feb 2023,6.97
31 Mar 2023,7.16
30 Apr 2023,7.3
31 May 2023,7.38
30 Jun 2023,7.47
31 Jul 2023,7.64
31 Aug 2023,7.91
30 Sep 2023,7.98
31 Oct 2023,8.02
30 Nov 2023,8
31 Dec 2023,7.92
31 Jan 2024,7.94
29 Feb 2024,7.94
31 Mar 2024,7.93
30 Apr 2024,8
31 May 2024,8
30 Jun 2024,8.03
31 Jul 2024,8.07
31 Aug 2024,7.86
30 Sep 2024,7.7
31 Oct 2024,7.68
30 Nov 2024,7.56
31 Dec 2024,7.47
31 Jan 2025,7.48
28 Feb 2025,7.35
31 Mar 2025,7.24
30 Apr 2025,7.19
31 May 2025,7.08
30 Jun 2025,6.98
31 Jul 2025,6.99
31 Aug 2025,6.89
30 Sep 2025,6.8
31 Oct 2025,6.81
30 Nov 2025,6.82
31 Dec 2025,6.77
31 Jan 2026,6.62
28 Feb 2026,6.59
